# Fix print output for fix thermodata
-7.3199712122223 -8.28071842096227 24.8602093868303 322.94152398739 71.4355493996513 0.996887550478815
-7.31219947710559 -8.27757189204014 24.8767235405797 324.496221335085 -103.06728168132 0.994903547877799
-7.23127491896325 -8.21714384968991 24.9472928638873 331.385833905509 -1307.30801523606 0.986484447684397
-7.32695148833242 -8.32077700583458 24.9418843255848 334.060327503451 760.099895160889 0.987126331340891
-7.26380264857041 -8.21950214510454 25.1061061457445 321.244807246945 -1211.77313400681 0.967882053123151
-7.33948272946545 -8.35131919291221 24.8880366440238 340.114451084443 -307.019802496056 0.993547434728079
-7.16130090089976 -8.16909952638151 25.058435143732 338.757189221831 -756.538085415756 0.973416445708473
-7.38332129986544 -8.29499314211001 24.7152216159232 306.445536799407 -112.026097725004 1.01453490120396
-7.3039594562232 -8.27490149377203 25.1302289981446 326.368370844059 -59.6699916296139 0.965097477907941
-7.08766780012926 -8.12679311796651 25.0634515947132 349.28721176963 697.045958172532 0.972832074647803
-7.2748059857355 -8.26645422969531 25.0206904975388 333.328467936745 291.66764260198 0.977828399820391
-7.36467754187328 -8.31166388749032 25.0144384892973 318.316005362018 655.243474170374 0.978561766587845
-7.25324791457789 -8.19389293566245 25.0124463478821 316.184459217529 418.995399226755 0.978795600815508
-7.29879561199599 -8.23662500822961 24.9482438909027 315.238026928087 591.573448892845 0.986371637628329
-7.16058969973727 -8.129537915669 25.1338659884917 325.69817603555 -620.740409183881 0.964678575899434
-7.28627093011408 -8.28095377026313 25.1998813213546 334.348504330423 -843.986432947538 0.957117005393432
-7.31592722194016 -8.31687583572142 25.0069210705171 336.454655113207 -732.860808871509 0.97944453862445
-7.37757178922903 -8.32524486339197 24.8750847539628 318.546839405731 -295.563159700343 0.995100195493509
-7.18714771259519 -8.20316299393257 25.0339238319443 341.519101346017 227.909824393286 0.976278531979887
-7.33048068720883 -8.31162667842653 24.9544076723433 329.798284892773 -223.461324875498 0.985640911696327
-7.26672931167749 -8.27332728340552 25.0718296791383 338.353606521327 -244.47590336772 0.971857146283216
-7.31896163945938 -8.28994689166508 24.7627981728757 326.382896836975 -253.774501805473 1.0086984768012
-7.29265410890831 -8.25904201585724 24.8032577721585 324.837564547677 1241.83103591591 1.00377029356425
-7.31408399052027 -8.27537946841223 24.9005841413315 323.125816873059 19.5667903528416 0.992046234658172
-7.26187236382797 -8.25906773179008 24.9325780209095 335.193054856962 -1416.12420019868 0.988232104809602
-7.21038011184505 -8.2560848781685 24.9776712111337 351.498799897913 8.86455780657393 0.982889476693044
-7.35641727509019 -8.29203987250956 25.0957307864309 314.496242860727 824.423131719803 0.969083007555592
